ISBN,Type,Title,Author,Publisher,Genre,Format,Unit Price,Publication Date,Pages,Length,Narrator,Rating
978-0-08-262507-0,Book,Increase add we your put,Robert Scott,Random House,Crime Fiction,Paperback,18.24,03/06/2000,223,,,2.43
978-1-79760-874-7,Book,Necessary than everything,Jocelyn Booker,Random House,Crime Fiction,Paperback,17.84,12/04/1978,291,,,1.44
978-0-09-649727-4,Book,Large why music cause,Cassandra Gonzales,Corner Stone,Science Fiction,Paperback,101.44,05/10/2001,143,,,1.93
978-1-359-61600-5,Book,Morning medical network,Shannon Cross,Corner Stone,Cooking,Hardback,10.29,28/08/2006,273,,,1.81
978-1-02-234646-8,Book,School to couple through three,April Holloway,Corner Stone,Period Drama,Paperback,22.2,02/09/1988,251,,,2.12
978-0-7429-4484-8,Book,Daughter writer carry any,Carrie Ward,Joffe Books,Religion and Spirituality,Hardback,12.86,21/06/2004,75,,,2.49
978-0-399-63581-6,eBook,Than wonder anything,Michael Brown,Joffe Books,Action,Digital,13.35,20/07/1967,189,,,2.38
978-1-328-59533-1,Book,International model spring,Joshua Pitts,Cambridge University Press,Young Adult,Hardback,25.12,24/02/1947,239,,,1.95
978-1-75315-322-9,Book,Over if arm,Phillip Larson,Cambridge University Press,True Crime,Paperback,40.87,09/11/2013,223,,,2.65
978-1-08-447025-5,Magazine,Up gas notice night decide,Stephanie Gordon,Penguin Books,Comedy,Paperback,23.63,29/05/2014,240,,,3.48
978-1-245-87793-0,Book,Letter very nice,Keith Ellison,Faber & Faber,Crime Fiction,Hardback,21.75,18/02/2012,230,,,1.55
978-0-7024-0566-2,Book,Before animal stop,Christopher Martinez,Hachette Livre,Travel,Paperback,23.86,27/11/2007,234,,,2.27
978-0-89842-346-4,Magazine,Act method bed form,Greg Reyes,Penguin Books,Memoir and Autobiography,Paperback,14.22,27/07/1946,229,,,3.89
978-0-7583-2103-9,Book,Level apply its back,Douglas Garza,Cambridge University Press,Science Fiction,Paperback,36.49,20/10/2008,232,,,1.48
978-1-226-21630-7,eBook,Lay response daughter,Jennifer Gill,Corner Stone,Classic Fiction,Digital,13.01,19/09/1978,200,,,3.39
978-1-72221-434-0,eBook,Floor strong poor check building,Justin Ramos,Harper Collins,Horror,Digital,85.18,14/06/1965,210,,,2.58
978-0-7860-9890-3,Book,Agreement around no sit throw give,Andrea Gregory,Harper Collins,Travel,Hardback,19.89,15/05/1978,121,,,2.32
978-1-01-939243-0,Book,Professional technology of,Todd Phillips,Bloomsbury,Young Adult,Hardback,14.64,19/02/1987,119,,,2.78
978-1-67228-272-7,Book,Risk glass total listen write whose,Jesse Medina,Penguin Books,History,Hardback,23.95,31/05/1999,252,,,1.93
978-1-399-00266-0,Book,Second away agency level suggest,Ruth Bowman,Corner Stone,Gardening and Nature,Hardback,138.71,16/03/1986,228,,,3.4
978-0-08-499999-5,Book,Sister just list,Kayla Zamora,Severn House,Thriller,Paperback,29.17,23/05/1987,122,,,2.72
978-0-305-99979-7,Book,College chance research,Stephen Wade,Hachette Livre,Religion and Spirituality,Hardback,20.31,22/08/1993,331,,,3.86
978-1-263-88030-1,Book,Live way hospital sense nature,Diana Hicks,Harper Collins,Travel,Hardback,45.51,08/07/1986,217,,,1.12
978-0-416-09105-2,Book,Too Republican pull market source,Mary Ruiz,Penguin Books,Travel,Paperback,18.2,05/06/1975,168,,,1.82
978-1-09-946688-5,Magazine,Over test teach,Robin Nguyen,Pearson,Classic Fiction,Paperback,41.06,25/09/1991,232,,,2.42
978-1-5491-9642-3,Book,Line newspaper reality,Nicholas Conner,Bloomsbury,Cooking,Paperback,20.82,14/09/1960,277,,,2.89
978-1-85673-600-8,eBook,Still loss system return,Pamela Anderson,Joffe Books,Children,Digital,42.4,11/04/1987,214,,,2.84
978-1-01-026605-1,Magazine,Simply southern drug stock action,Brittany Humphrey,Severn House,Comedy,Hardback,23.11,09/07/1955,203,,,2.92
978-1-4788-1515-0,Book,Live item prevent yourself be behind,Keith Jacobs,Puffin Books,Thriller,Paperback,13.28,11/07/1999,112,,,2.85
978-0-514-00211-0,Book,Identify result student almost,Denise Owens,Corner Stone,Fantasy,Paperback,19.15,06/03/1967,218,,,2.58
978-1-897096-33-8,Book,Wrong born culture politics white,Amanda Scott,Corner Stone,Fantasy,Hardback,10.23,05/02/1953,131,,,1.46
978-1-890638-20-7,Book,Political military fill know middle,David Mcclain,Hachette Livre,Gardening and Nature,Hardback,21.28,23/01/2002,114,,,2.54
978-1-4777-4480-2,Book,South image account,Katelyn Lawson,Puffin Books,Comics,Paperback,168.41,28/08/1973,245,,,2.29
978-0-459-00247-3,Book,Practice a but continue,Lauren Murphy,Bloomsbury,Poetry,Hardback,21.74,17/01/1944,224,,,2.32
978-0-944851-66-1,Book,Year model moment line,Kathy Scott,Penguin Books,Reference Book,Hardback,27.3,24/01/2016,173,,,2.87
978-1-68270-085-3,Book,Know buy discussion,Jasmine Moore,Faber & Faber,Politics and Satire,Hardback,230.63,03/12/1943,254,,,2.95
978-1-136-93773-6,Magazine,Bed door dark Mrs,Lindsay Williams,Faber & Faber,Cooking,Paperback,21.76,28/05/1981,200,,,4.0
978-0-09-897545-9,eBook,Difficult question place international hotel water,William Martin,Penguin Books,Reference Book,Digital,12.42,10/05/1940,179,,,2.34
978-0-283-11306-2,Book,True challenge present friend see,Becky Estes,Penguin Books,Romance,Paperback,16.9,17/02/1998,138,,,2.71
978-0-85605-209-5,Book,Dinner young perhaps,Tyler Alexander,Harper Collins,Period Drama,Paperback,28.43,07/04/2014,190,,,1.49
978-1-68327-300-4,Book,Could front rich scene fund true,Regina Obrien,Cambridge University Press,Horror,Paperback,11.3,16/08/2000,215,,,2.84
978-1-60959-796-2,Book,Herself break clearly agree plant,Michael Schmidt,Puffin Books,Period Drama,Hardback,32.3,09/12/1959,204,,,3.84
978-1-165-76999-5,Book,Plant keep ok,Cindy Carey,Pearson,LGBTQ+,Hardback,17.11,29/11/2016,251,,,2.09
978-0-364-08682-7,Book,Should fact month,Rebecca Garcia,Pearson,Cooking,Hardback,46.41,22/08/1942,293,,,3.8
978-0-911587-73-9,Book,Whom certain would miss item,Emily Moss,Penguin Books,Fantasy,Paperback,14.9,27/12/1977,145,,,2.44
978-0-9661559-8-3,Magazine,Job hour gun gas yard,Charles Li,Joffe Books,True Crime,Paperback,15.71,18/10/2013,176,,,1.8
978-1-5031-7939-4,Book,Half key state himself process of,Sean Johnson,Bloomsbury,Comedy,Hardback,21.68,06/05/1993,191,,,2.07
978-1-75468-939-0,Book,Treat hit Mrs,Jessica Matthews,Penguin Books,Adventure Fiction,Paperback,14.8,16/11/1950,178,,,3.41
978-1-80250-130-8,Magazine,Animal hard history someone stuff choice,Stephen Black,Joffe Books,Romance,Hardback,30.71,30/11/2013,150,,,2.21
978-1-954752-23-8,Book,Develop letter use tax court,Francis Watson,Severn House,Crime Fiction,Hardback,31.66,19/09/2009,193,,,3.34
978-0-15-110140-5,Book,Color effort son join,Ashley Benson,Severn House,Action,Hardback,70.37,06/07/1974,174,,,2.7
978-0-8035-5139-8,Book,Collection address style skin place,Sharon Perry,Penguin Books,Comedy,Hardback,50.42,17/01/2014,188,,,2.91
978-1-02-960650-3,Book,Yes speak house whom make,Rachael Taylor,Random House,Comedy,Hardback,52.36,14/05/1980,241,,,3.43
978-0-532-63110-1,eBook,Truth find name,Jacob Hogan,Random House,Horror,Digital,13.78,28/01/2009,83,,,2.67
978-1-175-05891-1,Book,Star low continue open control thank,Joe Hill,Transworld,Gardening and Nature,Paperback,72.08,24/08/1974,187,,,2.98
978-1-66180-929-4,Book,During identify heavy deep,Mark Wall,Pearson,Action,Paperback,10.95,31/03/1962,228,,,2.03
978-1-4585-9507-2,eBook,Ever eight top community couple red,Julia Roberts,Bloomsbury,Travel,Digital,14.12,08/10/1997,157,,,2.65
978-1-80926-084-0,Book,Police forward more now memory nation,Douglas Wright,Random House,Travel,Paperback,14.58,08/03/1983,203,,,2.22
978-1-72867-525-1,Book,Join newspaper new,Roger Martin,Harper Collins,True Crime,Hardback,11.53,29/06/1976,136,,,2.74
978-0-501-61903-1,Book,Rich but student decision make,Luis Price,Corner Stone,Comics,Paperback,146.69,31/12/1947,163,,,2.25
978-1-64504-068-2,Book,Great Mrs break,Theresa Richards,Transworld,Poetry,Paperback,19.16,23/04/1965,219,,,2.03
978-0-329-74341-3,Book,Large girl long reflect newspaper,Eric Brown,Random House,Poetry,Paperback,29.36,24/12/1967,188,,,2.91
978-1-84041-678-7,Book,General he for hair,Matthew Haley,Transworld,Romance,Hardback,38.09,06/03/1967,191,,,3.6
978-0-17-605039-9,Book,Future nature brother wish air,Kimberly Rodriguez,Joffe Books,Crime Fiction,Paperback,81.24,05/03/1967,263,,,3.15
978-1-389-08345-7,Book,Though develop Mr one others,John Cox,Pearson,Politics and Satire,Paperback,22.68,01/12/1942,244,,,1.69
978-0-611-12131-8,Book,Industry model agent,Maria Gray,Cambridge University Press,Action,Hardback,68.94,13/07/1966,192,,,1.77
978-1-01-551836-0,AudioBook,Big final policy decide read,Kendra Moore,Hachette Livre,Adventure Fiction,Audio,143.93,31/12/2004,0,01:33,Nigel Planer,2.85
978-0-9906585-0-4,Book,Although trial sort receive,Robert Anderson,Puffin Books,Comics,Paperback,29.65,22/05/1953,196,,,2.9
978-1-4844-9358-8,Magazine,Suggest every machine building decade former,Marco Lyons,Random House,Fantasy,Hardback,17.79,05/08/1984,186,,,2.71
978-1-70484-143-4,Book,Parent include subject discussion position,Aaron Mccarty,Puffin Books,History,Hardback,20.34,25/12/1992,168,,,3.38
978-0-9828246-0-3,Book,Relationship everybody can very raise address,Sydney Gutierrez,Faber & Faber,Classic Fiction,Paperback,10.82,05/12/1954,167,,,2.46
978-1-4587-5616-9,Book,Two myself safe,Tracey Newton,Faber & Faber,Travel,Hardback,25.48,28/12/1952,195,,,3.2
978-0-395-39130-3,eBook,Fish leader success,Teresa Lawrence,Cambridge University Press,Thriller,Digital,13.19,28/11/2013,233,,,2.16
978-1-284-77589-1,Book,Tree force plan point those,Pamela Craig,Puffin Books,Politics and Satire,Hardback,117.74,14/04/1963,170,,,2.1
978-0-552-11107-2,Book,Artist boy worry newspaper discover,Joshua Stewart,Bloomsbury,Science Fiction,Hardback,18.67,17/03/1949,250,,,2.89
978-0-87757-477-4,eBook,Magazine page court,Barbara Gonzalez,Bloomsbury,Science Fiction,Digital,24.61,03/08/1954,193,,,1.8
978-1-359-12579-8,Book,State page buy science claim,Tammie Harris,Hachette Livre,Politics and Satire,Paperback,12.82,14/11/1942,236,,,1.61
978-1-104-58513-6,Book,Writer dream lead,Kathleen Lewis,Pearson,History,Hardback,50.76,19/01/1944,193,,,0.97
978-1-5467-0148-4,Book,Power common interesting modern majority,Mary Morales,Harper Collins,Gardening and Nature,Hardback,21.29,22/10/1989,157,,,2.17
978-1-7333886-0-3,Book,Issue property respond follow oil,Mary Hughes,Corner Stone,True Crime,Paperback,15.54,01/05/1993,141,,,3.52
978-0-7717-8055-4,Book,Kitchen leave question,Anthony Wolf,Bloomsbury,LGBTQ+,Paperback,21.68,27/02/1979,185,,,2.03
978-1-255-18503-2,Book,Player exactly suffer little,Thomas Dixon,Pearson,Children,Paperback,38.78,26/10/1973,141,,,1.99
978-0-7117-1815-9,Magazine,Arm white cup fly building about,Tami Clark,Cambridge University Press,Period Drama,Paperback,25.97,07/09/2011,127,,,2.83
978-1-05-917047-0,Book,Agent or fast possible,Kristin Jackson,Faber & Faber,Comedy,Hardback,10.15,27/06/1989,178,,,1.5
978-0-280-56242-9,AudioBook,National record difficult there seven peace,Barbara Wheeler,Severn House,Horror,Audio,39.53,22/05/1986,0,03:50,Adjoa Andoh,3.69
978-0-378-16503-7,Book,Rich eight modern crime entire arm,Bailey James,Corner Stone,Gardening and Nature,Paperback,21.24,19/07/1960,225,,,3.07
978-0-8455-5279-7,Book,Particularly every service again than view,Thomas Leon,Corner Stone,Action,Paperback,97.36,04/03/1979,196,,,2.58
978-1-5138-5877-7,Book,Kid we reach,Benjamin Barry,Pearson,Romance,Hardback,191.53,17/12/2001,203,,,2.85
978-0-456-74002-6,Book,Blue table animal president hundred,Jennifer Brooks,Cambridge University Press,Romance,Hardback,21.79,07/12/1987,155,,,1.74
978-0-488-62820-0,Book,Check administration day nation maintain,Megan Campbell,Joffe Books,Adventure Fiction,Hardback,15.44,04/06/1991,237,,,3.08
978-1-70776-300-9,Book,Start few life language treat including,Crystal Myers,Pearson,Fantasy,Paperback,18.28,09/07/1951,93,,,1.96
978-0-219-65116-3,Book,Have east painting,Joel Jones,Harper Collins,Comics,Hardback,19.8,09/02/1985,282,,,2.84
978-0-7489-6608-0,Book,Baby forward notice seven,Allison Stark,Pearson,Crime Fiction,Hardback,27.31,05/12/1948,273,,,1.49
978-0-230-26600-1,Book,Final ask budget,Derek Bell,Joffe Books,Science Fiction,Paperback,61.23,31/10/1942,155,,,2.08
978-0-208-98677-1,Book,Learn rise visit during number,Michael Calderon,Penguin Books,Crime Fiction,Hardback,12.84,08/01/1992,230,,,2.75
978-0-201-13780-4,Book,High finally music black course manage,Lauren Delgado,Joffe Books,Science Fiction,Hardback,36.54,18/04/1943,183,,,2.56
978-1-59409-049-3,Book,Property find green we,Patrick Middleton,Joffe Books,Thriller,Hardback,51.63,26/09/2003,225,,,2.69
978-0-85429-565-4,eBook,Once foreign nice,Jessica Davis,Hachette Livre,Science Fiction,Digital,57.84,07/08/1975,228,,,2.53
978-1-239-01374-0,Book,Federal white itself write more television,Emily Barron,Corner Stone,Period Drama,Paperback,59.65,10/12/1942,140,,,1.78
978-1-08-691176-3,Book,Fine determine not,Ryan Perez,Hachette Livre,Crime Fiction,Hardback,21.17,13/07/2004,267,,,3.16
978-0-17-467979-0,eBook,From will sister product,Lisa Thompson,Joffe Books,Classic Fiction,Digital,105.02,28/01/1991,174,,,2.63
978-0-19-282365-6,Book,Nation he that subject hospital maybe,Bruce Perry,Corner Stone,Religion and Spirituality,Hardback,20.53,21/10/1983,280,,,3.5
978-1-64589-639-5,Book,That identify pick great memory gas,Kevin Lane,Faber & Faber,Comics,Hardback,15.44,12/10/1944,219,,,2.75
978-1-948552-38-7,Book,Form six will wide,John Davidson,Puffin Books,Travel,Paperback,22.95,07/04/1940,219,,,3.17
978-0-8330-1457-3,Book,Traditional big prevent student people,Donna Rose,Corner Stone,Science Fiction,Paperback,20.77,14/06/1956,102,,,3.53
978-0-217-74220-7,AudioBook,Design capital attorney newspaper,Katrina Luna,Transworld,Religion and Spirituality,Audio,17.45,19/06/1940,0,09:35,Dion Graham,2.91
978-0-7132-8381-5,Book,Part evidence including return,Nathan Henry,Transworld,Science Fiction,Hardback,35.64,08/06/1960,193,,,2.36
978-0-88393-027-4,Magazine,Fall partner so sure by,Tina Miranda,Transworld,History,Paperback,20.33,20/05/1960,100,,,3.59
978-0-298-60097-7,Book,Ground fish change describe,Tiffany Wells,Transworld,Action,Paperback,35.09,16/07/1982,192,,,2.05
978-0-15-458522-6,Book,Score few general left moment spring,Nicholas Jensen,Bloomsbury,Comedy,Hardback,56.17,19/10/1983,179,,,3.07
978-0-320-20420-3,eBook,Page himself amount back,Laura Hughes,Pearson,Thriller,Digital,37.21,08/10/1978,206,,,3.55
978-0-7533-2856-9,eBook,Sometimes federal interesting,Michael Diaz,Random House,Reference Book,Digital,37.55,11/03/1994,214,,,2.57
978-0-05-949082-3,Book,Travel believe fund student big,Katie Jones,Cambridge University Press,Fantasy,Paperback,32.74,17/08/1967,184,,,2.74
978-0-336-66820-4,Book,Fact another too,Thomas Clark,Random House,Crime Fiction,Paperback,21.29,30/08/2014,270,,,3.49
978-0-12-886475-3,Book,With current billion eight vote,Gregory Long,Puffin Books,Horror,Hardback,18.16,15/04/1942,215,,,2.1
978-0-01-739235-0,Magazine,Everything picture trial between,Jennifer Williams,Harper Collins,Romance,Hardback,24.6,21/08/1942,137,,,3.09
978-0-03-118264-7,Magazine,Me listen bed culture authority,Amanda Nguyen,Bloomsbury,Thriller,Hardback,56.99,15/03/1963,154,,,3.0
978-1-61702-978-3,eBook,Hour newspaper article,Thomas Scott,Joffe Books,Children,Digital,47.01,22/08/1985,215,,,2.72
978-0-00-510360-9,eBook,Entire number star area majority,Kristopher Smith,Harper Collins,Adventure Fiction,Digital,35.3,12/02/1969,177,,,3.79
978-0-381-42857-0,Book,That gas yeah develop,Danny Harris,Hachette Livre,True Crime,Paperback,20.28,07/07/1960,186,,,2.56
978-1-365-54574-0,Book,Along reach hundred street grow,Jamie Vargas,Transworld,Action,Paperback,30.61,30/03/1948,184,,,3.92
978-1-85963-671-8,Book,Present important thousand toward minute same,Ruth Parker,Faber & Faber,Comedy,Paperback,30.16,03/12/1981,232,,,3.07
978-0-427-76898-1,AudioBook,Thank room nothing state subject major,Mary Benton,Cambridge University Press,Gardening and Nature,Audio,11.63,28/01/1956,0,10:23,Kemmofer Ikeda,1.96
978-1-84953-380-5,eBook,She ground treatment beat thank fire,Dylan Walter,Corner Stone,Politics and Satire,Digital,16.44,21/07/2011,175,,,2.95
978-0-348-90407-9,Book,Health would red,Robert Walker,Penguin Books,Science Fiction,Paperback,22.18,01/03/2008,161,,,2.73
978-1-63870-884-1,Book,Feel offer word whom,Tammie Cruz,Puffin Books,Religion and Spirituality,Paperback,14.39,26/02/1960,248,,,2.71
978-0-13-950491-4,eBook,Sea notice story business mouth,Matthew Peterson,Penguin Books,True Crime,Digital,20.66,08/07/1987,221,,,1.48
978-0-224-30088-9,eBook,Expert environmental sound eat,Scott Sullivan,Joffe Books,Cooking,Digital,18.52,07/04/1983,202,,,3.07
978-1-74116-652-1,Book,Place too then public,Kimberly Holt,Cambridge University Press,Period Drama,Paperback,20.08,14/01/2001,246,,,1.83
978-0-564-72303-4,eBook,Treatment small either,Melissa Jimenez,Faber & Faber,Romance,Digital,19.97,09/05/1989,140,,,2.46
978-0-7229-6607-5,Book,Front board room,Rachel Flores,Transworld,Memoir and Autobiography,Paperback,22.02,04/03/2009,248,,,2.01
978-0-934038-06-5,Book,Identify avoid local,Clifford Lee,Bloomsbury,LGBTQ+,Hardback,20.87,27/05/1988,98,,,1.79
978-0-930224-43-1,Book,Fly wonder pick else,Michele Lawson,Corner Stone,Romance,Hardback,173.58,17/04/1946,224,,,2.84
978-0-07-844141-7,Book,Reduce necessary do also when relate,Lacey Davis,Joffe Books,Poetry,Paperback,22.33,10/10/1997,218,,,2.05
978-0-573-46562-8,Book,Society top success account,Angela Johnson,Bloomsbury,Cooking,Paperback,25.2,04/12/1996,171,,,3.1
978-0-19-459773-9,Book,Box including to body,Sara Castro,Penguin Books,Romance,Hardback,24.56,10/01/1992,231,,,4.1
978-1-07-438330-5,Book,Enter every live,Jennifer Shields,Faber & Faber,Travel,Hardback,14.87,23/07/1940,346,,,2.95
978-1-85009-149-3,Book,Lead century present relationship establish,Anthony Glover,Pearson,Politics and Satire,Paperback,15.29,24/01/1990,189,,,2.07
978-1-893422-84-1,Book,Research chair school party break,Lori Rogers,Random House,Crime Fiction,Paperback,19.4,14/06/1999,189,,,3.15
978-0-288-93347-4,Book,Human campaign common investment,Matthew Greene,Random House,True Crime,Hardback,24.76,29/04/1991,187,,,3.32
978-1-265-14557-6,Book,Wind she middle church cell,Ryan Adams,Faber & Faber,Gardening and Nature,Hardback,46.95,24/02/1975,193,,,1.42
978-1-184-22690-5,Magazine,Number certain push,Bryan Wilson,Harper Collins,History,Paperback,55.29,18/03/1988,257,,,2.97
978-0-7001-5607-8,Book,Gas follow show blood,Carolyn Contreras,Hachette Livre,Cooking,Hardback,11.09,07/12/1987,191,,,2.4
978-1-62312-659-9,AudioBook,Body memory indicate reflect commercial,Lisa Carlson,Puffin Books,True Crime,Audio,23.56,07/08/2005,0,04:16,Bahni Turpin,2.61
978-1-84294-392-2,Book,Federal someone moment knowledge,Heidi Stewart,Hachette Livre,Science Fiction,Paperback,27.24,07/02/1945,154,,,1.6
978-0-483-15951-8,Magazine,Local but president know,Kelsey Lewis,Transworld,Religion and Spirituality,Paperback,18.71,11/02/1957,171,,,2.64
978-1-00-937102-5,Book,Rich economy risk,Debra Hoffman,Pearson,Fantasy,Hardback,21.8,09/06/1991,124,,,2.43
978-0-13-885187-3,Book,Show minute top imagine,Jack Miller,Transworld,Travel,Hardback,77.42,09/11/1957,207,,,2.23
978-1-57582-508-3,Book,Reality administration important drive us while,Sean Rice,Harper Collins,Poetry,Hardback,38.27,19/08/1948,183,,,1.53
978-0-8152-3983-3,eBook,Speech style stay theory effort nearly,Alyssa Downs,Transworld,Period Drama,Digital,22.64,31/07/2005,131,,,2.06
978-1-03-034162-2,eBook,Election dinner camera computer Congress institution,Stephen Green,Pearson,Classic Fiction,Digital,25.08,19/06/1949,185,,,2.4
978-1-62524-140-5,Book,Wrong particular reach,Valerie Reed,Puffin Books,LGBTQ+,Paperback,10.8,01/02/1989,168,,,2.68
978-0-9725001-2-8,Book,Me about any alone hot,Jessica Freeman,Corner Stone,Cooking,Hardback,65.61,20/11/1947,123,,,1.14
978-0-09-241005-5,eBook,Involve well six whom growth able,Isaac Morgan,Cambridge University Press,Thriller,Digital,21.77,23/10/1968,149,,,2.78
978-1-172-79753-0,AudioBook,Assume seat leader son set,Brenda Holder,Cambridge University Press,Memoir and Autobiography,Audio,120.75,21/10/1957,0,11:14,Kemmofer Ikeda,2.81
978-1-204-74034-3,Book,Several serve hospital,Shane Smith,Hachette Livre,Crime Fiction,Hardback,22.24,13/02/1974,164,,,3.1
978-0-8034-3996-2,Magazine,Onto blood clearly accept,Cory Peterson,Severn House,Romance,Hardback,68.61,16/10/1957,156,,,2.57
978-1-58695-110-8,Book,Herself try worry subject show visit,Logan Mullins,Cambridge University Press,True Crime,Paperback,30.76,30/05/1980,208,,,2.09
978-0-7261-0541-8,Book,Case brother message car,Joseph Smith,Joffe Books,Travel,Hardback,23.54,06/08/1984,192,,,1.71
978-1-4383-6083-6,Book,Commercial positive likely eat,Gregory Mcconnell,Cambridge University Press,Thriller,Paperback,14.52,20/04/2016,168,,,2.88
978-1-74396-969-4,eBook,Strong find pretty get must scientist,Todd Campbell,Severn House,True Crime,Digital,33.56,18/12/1953,260,,,2.29
978-1-78415-983-2,Book,Tell radio question,Jessica Beck,Random House,Memoir and Autobiography,Paperback,12.76,26/11/1944,126,,,3.01
978-1-06-207853-4,Book,Establish TV receive best article significant,Gary Wood,Hachette Livre,Comedy,Hardback,24.83,11/01/1955,142,,,2.0
978-1-5063-9306-3,Magazine,Despite serve yard describe decision,Lisa Ingram,Cambridge University Press,Gardening and Nature,Hardback,33.8,19/01/2012,211,,,3.09
978-0-11-463675-3,Book,Second mean provide occur seat exactly,Erin Santana,Transworld,Fantasy,Hardback,55.69,05/08/1988,134,,,2.99
978-1-7344611-7-6,eBook,View weight artist,Joshua Sandoval,Joffe Books,Reference Book,Digital,33.44,19/08/1996,262,,,2.72
978-1-197-27159-6,eBook,Agent new deep attorney wife,Sandra Hamilton,Penguin Books,Memoir and Autobiography,Digital,18.55,09/09/1993,187,,,2.93
978-1-67332-261-3,Book,Financial turn take past,Richard Martin,Pearson,Science Fiction,Hardback,28.91,23/08/2005,277,,,2.7
978-1-394-65219-8,eBook,Manager huge follow,Janice Cross,Harper Collins,History,Digital,19.98,17/04/1950,198,,,3.22
978-0-505-91808-6,Book,Yourself section front might,Maria Shelton,Bloomsbury,Horror,Hardback,15.41,21/05/1955,160,,,2.23
978-1-68456-854-3,eBook,Movement likely prepare so both partner,Kelly Moody,Penguin Books,Reference Book,Digital,12.36,24/04/1951,262,,,1.42
978-1-69854-104-4,eBook,Never common or,Christopher Jenkins,Corner Stone,Gardening and Nature,Digital,26.56,18/10/2013,233,,,3.21
978-1-201-06754-2,Magazine,Line go wide fill,Natalie Vargas,Joffe Books,Thriller,Paperback,64.38,15/02/1982,190,,,2.44
978-1-05-587154-8,Book,Story arrive close majority notice,Chad Ortiz,Puffin Books,Science Fiction,Hardback,24.63,26/04/1993,156,,,1.58
978-0-9879729-4-1,Book,Whose culture dream,George Ochoa,Random House,True Crime,Paperback,29.44,06/12/1943,269,,,2.94
978-0-244-45241-4,Book,Can difference dinner time onto wind,Gloria Petersen,Corner Stone,Cooking,Paperback,18.11,12/01/1979,298,,,3.29
978-1-4836-1204-1,Magazine,Difference old or,Linda Coleman,Joffe Books,Crime Fiction,Hardback,16.57,30/01/1966,185,,,2.29
978-0-917581-72-4,Magazine,Future set purpose particularly,Michael Bass,Severn House,Reference Book,Paperback,33.39,19/02/1954,96,,,3.0
978-0-7300-1057-9,Book,Security dream land allow require,Tonya Wheeler,Severn House,Adventure Fiction,Hardback,104.32,06/12/1985,140,,,3.45
978-1-5411-4763-8,Book,Full program relate,Martin Allison,Transworld,Memoir and Autobiography,Hardback,345.11,02/08/2001,186,,,0.58
978-1-55909-175-6,Book,Against allow outside certain office push,James Smith,Bloomsbury,Young Adult,Hardback,127.43,17/09/1966,126,,,2.56
978-1-65698-876-8,Book,Rock thus American answer drug water,Anne Cunningham,Random House,Classic Fiction,Hardback,24.88,26/02/1956,215,,,2.32
978-0-7708-1932-3,Book,Environment four foreign most,Nicole Wolfe,Random House,Memoir and Autobiography,Hardback,17.39,18/06/1950,332,,,3.26
978-1-84976-988-4,eBook,Bring garden recently adult picture,Jessica Christensen,Transworld,Science Fiction,Digital,20.83,22/06/1979,205,,,1.93
978-1-00-877892-4,AudioBook,Lead wind while generation take,Anna Barnes,Faber & Faber,History,Audio,17.32,16/02/1979,0,10:08,Dion Graham,2.64
978-1-5238-7956-4,Book,Religious protect produce,Kelly Moreno,Bloomsbury,Travel,Paperback,27.79,03/07/1977,196,,,3.28
978-0-14-344971-3,Magazine,Sometimes research standard blood whatever will,Joseph Gray,Penguin Books,Gardening and Nature,Paperback,18.27,14/07/1959,224,,,3.22
978-0-436-03540-1,Magazine,Sell film low forward trial drug,Kristen Mcgrath,Cambridge University Press,Fantasy,Hardback,29.51,01/01/1989,289,,,2.43
978-0-637-13059-2,eBook,Get work with cold serious unit,Jaime Phillips,Random House,Crime Fiction,Digital,19.18,18/04/1947,149,,,3.35
978-1-230-43291-5,Book,Continue himself send reflect,Michael Tucker,Joffe Books,Cooking,Hardback,74.5,29/01/1963,200,,,2.23
978-1-171-48963-4,Book,Be defense air anything,Lisa Brown,Severn House,Adventure Fiction,Paperback,30.78,11/07/1974,225,,,1.26
978-1-372-71046-9,eBook,Future clearly age land stage year,Joseph Schroeder,Joffe Books,Romance,Digital,18.42,17/03/1968,202,,,2.21
978-1-4031-9259-2,Book,Keep laugh need,Christopher Callahan,Random House,Young Adult,Hardback,22.84,15/05/1957,165,,,1.58
978-0-05-636629-9,Book,Marriage believe add major,Emily Hall,Transworld,Politics and Satire,Hardback,21.82,26/10/1999,238,,,2.01
978-1-64673-940-0,AudioBook,Though surface at husband market whatever,Gail Cook,Transworld,History,Audio,21.52,22/08/1962,0,00:25,Dion Graham,1.91
978-1-85230-347-1,Book,Maintain buy PM practice direction,Taylor Gutierrez,Bloomsbury,Action,Paperback,21.3,29/09/1968,244,,,4.64
978-0-345-34008-5,Book,Same figure each employee body student,Nicholas Walker,Corner Stone,Travel,Hardback,157.59,10/04/1960,106,,,2.86
978-1-140-15460-0,Magazine,General piece back beyond someone,Joann Long,Faber & Faber,Reference Book,Hardback,177.16,15/07/2006,148,,,2.1
978-1-58565-918-0,Book,Along although later before,Anthony Tanner,Transworld,Period Drama,Paperback,19.74,26/09/1961,168,,,2.59
978-0-390-38008-1,Book,Measure education move scene,Nicole Velez,Transworld,Religion and Spirituality,Paperback,13.75,06/01/1965,254,,,2.68
978-0-343-39459-2,eBook,Among image beautiful every age,Jeremy Gray,Random House,Memoir and Autobiography,Digital,34.46,17/01/1983,165,,,2.31
